Fecha,Tipo,Color,Material,Cantidad
2024-11,Gabetero de 2 cajas con chapa adicional,Blanco,Melamina,1
2024-11,Casillero de 1 cuerpo y 1 puerta,Azul,Metal,1
2024-11,Cajero para supermercado,Rojo,Melamina,1
2024-11,Catre de internación,Negro,Metal,1
2024-11,Negtoscopio,Azul,Melamina,1
2024-11,Broastera simple,Gris,Metal,1
2024-11,Estante para farmacia,Negro,Metal,3
2024-11,Lámpara de cuello ganzo,Gris,Melamina,1
2024-11,Ropero casillero,Rojo,Metal,1
2024-11,Estante para archivos con bandejas,Blanco,Melamina,1
2024-11,Silla de espera,Blanco,Metal,1
2024-11,Biombo,Azul,Melamina,1
2024-11,Gabetero con chapa independiente,Negro,Metal,1
2024-11,Casillero de 9 puertas,Blanco,Melamina,2
2024-11,Silla mesedora,Negro,Metal,1
2024-11,Estante para archivos con bandejas,Gris,Melamina,1
2024-11,Silla de espera,Negro,Metal,1
2024-11,Cajero para supermercado,Blanco,Melamina,1
2024-11,Archivador de Chapas Individuales,Negro,Metal,1
2024-11,Credenza,Gris,Melamina,1
2024-11,Vitrina para farmacia,Blanco,Metal,1
2024-11,Broastera simple,Negro,Melamina,1
2024-11,Estante Archivador,Azul,Metal,1
2024-11,Horno domestico,Negro,Melamina,1
2024-11,Credenza,Azul,Metal,1
2024-11,Góndolas para supermercados,Blanco,Melamina,1
2024-11,Vitrina de puertas corredizas,Negro,Metal,2
2024-11,Estanteria tipo vitrin,Rojo,Melamina,1
2024-11,Cocina industrial de dos quemadores,Azul,Metal,1
2024-11,Camilla de examen con espaldar movible,Gris,Melamina,1
2024-11,Gabetero de 3 cajas,Blanco,Metal,1
2024-11,Cocina industrial de dos quemadores,Azul,Melamina,1
2024-11,Vitrina doble chapa,Blanco,Metal,1
2024-11,Lámpara de cuello ganzo,Azul,Metal,1
2024-11,Silla giratoria,Rojo,Melamina,2
2024-11,Negtoscopio,Azul,Metal,1
2024-11,Gabetero de 2 cajas con chapa adicional,Blanco,Melamina,1
2024-11,Estanteria tipo vitrin,Azul,Metal,1
2024-11,Estante Archivador,Gris,Metal,1
2024-11,Gabinete de dos cuerpos,Blanco,Metal,1
2024-11,Casillero de 12 puertas,Gris,Melamina,1
2024-11,Velador clínico,Azul,Metal,3
2024-11,Gabetero de 2 cajas con chapa adicional,Negro,Melamina,1
2024-11,Armario de dos cuerpos,Gris,Metal,1
2024-11,Estante para farmacia de dos cuerpos,Azul,Melamina,1
2024-11,Armario de dos cuerpos,Negro,Metal,1
2024-11,Casillero de 1 cuerpo y 4 puertas,Blanco,Melamina,2
2024-11,Mesa de trabajo,Rojo,Metal,1
2024-11,Silla mesedora,Blanco,Melamina,1
2024-11,Gabetero de 2 cajas con chapa adicional,Rojo,Metal,1
2024-11,Archivero,Azul,Melamina,1
2024-11,Góndolas para supermercados,Blanco,Melamina,1
2024-11,Camilla de examen con espaldar movible,Azul,Metal,1
2024-11,Vitrina de puertas corredizas,Negro,Melamina,1
2024-11,Casillero de 20 puertas,Gris,Metal,3
2024-11,Broastera simple,Azul,Melamina,1
2024-11,Casillero de 1 cuerpo y tres puertas,Blanco,Metal,1
2024-11,Casillero de 20 puertas,Azul,Melamina,1
2024-11,Negtoscopio,Rojo,Metal,1
2024-11,Gabetero de 2 cajas sin chapa,Azul,Metal,1
2024-11,Gabetero de 2 cajas con chapa adicional,Rojo,Melamina,3
2024-11,Estante mostrador,Azul,Metal,1
2024-11,Casillero de dos puertas,Gris,Melamina,1
2024-11,Estanteria tipo vitrin,Blanco,Metal,2
2024-11,Silla giratoria,Gris,Melamina,1
2024-11,Góndolas para supermercados,Blanco,Metal,1
2024-11,Casillero de 15 puertas,Negro,Melamina,1
2024-11,Alacena con pedestal,Azul,Metal,1
2024-11,Vitrina para farmacia,Negro,Melamina,1
2024-11,Estante para farmacia de dos cuerpos,Rojo,Metal,1
2024-11,Alacena con pedestal,Blanco,Melamina,1
2024-11,Camillas para masajes,Negro,Metal,1
2024-11,Horno hogareño,Gris,Melamina,1
2024-11,Camilla con Barillas,Negro,Metal,1
2024-11,Casillero de 20 puertas,Azul,Melamina,1
2024-11,Velador clínico,Blanco,Metal,1
2024-11,Estante mostrador,Negro,Melamina,1
2024-11,Casillero de cuatro puertas,Gris,Metal,2
2024-11,Gabetero de 2 cajas sin chapa,Azul,Metal,3
2024-11,Silla estática,Blanco,Melamina,1
2024-11,Catre de internación,Negro,Metal,3
2024-11,Camilla con Barillas,Rojo,Melamina,1
2024-11,Estante Archivador,Azul,Metal,1
2024-11,Gabetero de 2 cajas con chapa adicional,Gris,Melamina,1
2024-11,Gabinete de dos cuerpos,Azul,Metal,1
2024-11,Casillero de 1 cuerpo y 4 puertas,Negro,Melamina,1
2024-11,Horno hogareño,Blanco,Metal,1
2024-11,Estante mostrador,Blanco,Melamina,1
2024-11,Silla mesedora,Negro,Metal,1
2024-11,Estante para farmacia de dos cuerpos,Blanco,Melamina,1
2024-11,Estante para farmacia,Rojo,Metal,1
2024-11,Escritorio ejecutivo de siete cajas,Blanco,Melamina,2
2024-11,Silla de espera,Rojo,Metal,1
2024-11,Mesa de instrumentación,Gris,Melamina,1
2024-11,Estanteria tipo vitrin,Negro,Metal,1
2024-11,Estante de puertas corredizas,Gris,Melamina,1
2024-11,Casillero de 12 puertas,Blanco,Metal,1
2024-11,Horno semi-industrial,Azul,Melamina,1
2024-11,Camilla con Barillas,Gris,Metal,3
2024-11,Credenza,Blanco,Melamina,2
2024-11,Camilla tipo escritorio,Negro,Metal,1
2024-11,Gabetero con chapa independiente,Gris,Melamina,1
2024-11,Biombo,Negro,Metal,1
2024-11,Camilla tipo escritorio,Azul,Melamina,1
2024-11,Gabetero de 2 cajas sin chapa,Gris,Metal,1
2024-11,Cocina industrial de dos quemadores,Azul,Melamina,1
2024-11,Casillero de 9 puertas,Blanco,Metal,1
2024-11,Casillero de 20 puertas,Rojo,Melamina,1
2024-11,Gabetero de 5 cajas,Blanco,Metal,1
2024-11,Mostrador para librería,Gris,Melamina,1
2024-11,Lámpara de cuello ganzo,Blanco,Metal,1
2024-11,Gabetero de 3 cajas,Gris,Melamina,2
2024-11,Gabetero de 2 cajas con chapa adicional,Azul,Metal,1
2024-11,Horno semi-industrial,Blanco,Melamina,1
2024-11,Gabetero de 2 cajas sin chapa,Azul,Metal,1
2024-11,Casillero de 20 puertas,Negro,Melamina,1
2024-11,Gabetero de 4 cajas,Blanco,Metal,1
2024-11,Gabetero de 3 cajas,Rojo,Melamina,1
2024-11,Estante de puertas corredizas,Negro,Metal,1
2024-11,Vitrina para farmacia,Blanco,Metal,1
2024-11,Vitrina doble chapa,Gris,Melamina,1
2024-11,Horno hogareño,Negro,Metal,1
2024-11,Silla giratoria,Blanco,Metal,1
2024-11,Lámpara de cuello ganzo,Negro,Melamina,1
2024-11,Gabinete de dos cuerpos,Blanco,Metal,1
2024-11,Silla estática,Blanco,Melamina,1
2024-11,Estante para farmacia,Negro,Metal,1
2024-11,Estante Archivador,Blanco,Melamina,1
2024-11,Casillero de 1 cuerpo y 4 puertas,Gris,Metal,1
2024-11,Camilla con Barillas,Azul,Melamina,1
2024-11,Mostrador para librería,Rojo,Metal,1
2024-11,Gabetero con chapa independiente,Negro,Melamina,1
2024-11,Silla estática con brazo,Azul,Metal,1
2024-11,Negtoscopio,Blanco,Melamina,1
