Fecha,Tipo,Color,Material,Cantidad
2024-11,Casillero de 6 puertas,Azul,Metal,1
2024-11,Gradilla de 2 peldaños,Rojo,Melamina,1
2024-11,Broastera simple,Blanco,Metal,2
2024-11,Biombo,Negro,Melamina,1
2024-11,Cajero para supermercado,Blanco,Metal,1
2024-11,Vitrina doble chapa,Azul,Melamina,1
2024-11,Silla estática,Blanco,Metal,2
2024-11,Gabetero de 5 cajas,Azul,Melamina,1
2024-11,Lámpara de cuello ganzo,Negro,Metal,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Rojo,Melamina,1
2024-11,Horno semi-industrial,Azul,Metal,1
2024-11,Alacena con pedestal,Gris,Melamina,1
2024-11,Vitrina para farmacia,Azul,Metal,3
2024-11,Velador clínico,Gris,Melamina,2
2024-11,Casillero de 1 cuerpo y 4 puertas,Negro,Metal,1
2024-11,Taburete médico,Blanco,Melamina,1
2024-11,Estante para archivos con bandejas,Negro,Metal,1
2024-11,Armario de dos cuerpos,Rojo,Melamina,1
2024-11,Gabinete de dos cuerpos,Azul,Metal,1
2024-11,Horno domestico,Gris,Melamina,3
2024-11,Casillero de 12 puertas,Negro,Metal,1
2024-11,Camilla de ginecología,Rojo,Melamina,1
2024-11,Gabetero de 2 cajas con chapa adicional,Gris,Metal,1
2024-11,Cajero para supermercado,Rojo,Melamina,3
2024-11,Casillero de 1 cuerpo y 4 puertas,Blanco,Metal,1
2024-11,Gabetero de 3 cajas,Gris,Melamina,1
2024-11,Casillero de 9 puertas,Negro,Metal,1
2024-11,Archivero,Azul,Metal,1
2024-11,Mostrador para librería,Gris,Melamina,1
2024-11,Camilla de ginecología,Azul,Metal,1
2024-11,Casillero de 1 cuerpo y tres puertas,Gris,Melamina,1
2024-11,Estante para farmacia,Blanco,Metal,1
2024-11,Biombo,Negro,Melamina,1
2024-11,Vitrina de puertas corredizas,Blanco,Metal,1
2024-11,Camilla con Barillas,Gris,Melamina,1
2024-11,Estante para archivos con bandejas,Rojo,Metal,1
2024-11,Casillero de 9 puertas,Negro,Melamina,1
2024-11,Taburete médico,Gris,Metal,2
2024-11,Casillero de 6 puertas,Rojo,Melamina,1
2024-11,Estante de puertas corredizas,Azul,Metal,1
2024-11,Silla giratoria,Rojo,Melamina,1
2024-11,Estante Archivador,Blanco,Metal,1
2024-11,Vitrina doble chapa,Gris,Melamina,1
2024-11,Escritorio ejecutivo de siete cajas,Blanco,Metal,1
2024-11,Horno domestico,Rojo,Melamina,1
2024-11,Cajero para supermercado,Gris,Metal,1
2024-11,Gabetero de 4 cajas,Rojo,Melamina,1
2024-11,Horno semi-industrial,Blanco,Metal,1
2024-11,Credenza,Rojo,Melamina,1
2024-11,Gabetero de 2 cajas con chapa adicional,Gris,Metal,1
2024-11,Silla giratoria,Azul,Melamina,1
2024-11,Casillero de 20 puertas,Rojo,Metal,1
2024-11,Camilla de examen con espaldar movible,Azul,Melamina,1
2024-11,Casillero de dos puertas,Rojo,Metal,1
2024-11,Vitrina doble chapa,Gris,Melamina,1
2024-11,Camilla con Barillas,Negro,Metal,1
2024-11,Silla mesedora,Azul,Melamina,1
2024-11,Vitrina doble chapa,Gris,Metal,1
2024-11,Archivero,Rojo,Melamina,1
2024-11,Negtoscopio,Gris,Metal,1
2024-11,Mesa de instrumentación,Blanco,Melamina,1
2024-11,Horno domestico,Gris,Metal,1
2024-11,Casillero de 20 puertas,Negro,Melamina,1
2024-11,Silla mesedora,Azul,Metal,2
2024-11,Pedestal porta sueros,Gris,Melamina,1
2024-11,Casillero de 2 puertas,Negro,Metal,1
2024-11,Escritorio ejecutivo de siete cajas,Azul,Metal,1
2024-11,Estante Archivador,Blanco,Melamina,1
2024-11,Camilla de ginecología,Gris,Metal,1
2024-11,Silla mesedora,Azul,Melamina,1
2024-11,Casillero de cuatro puertas,Rojo,Metal,1
2024-11,Estante de puertas corredizas,Negro,Melamina,2
2024-11,Casillero de 2 puertas,Rojo,Metal,2
2024-11,Góndolas para supermercados,Blanco,Melamina,2
2024-11,Horno domestico,Rojo,Metal,1
2024-11,Gabetero de 2 cajas sin chapa,Gris,Melamina,1
2024-11,Estante para farmacia,Negro,Metal,2
2024-11,Cajero para supermercado,Gris,Melamina,1
2024-11,Armario de dos cuerpos,Negro,Melamina,1
2024-11,Biombo,Rojo,Metal,1
2024-11,Gabetero de 2 cajas sin chapa,Azul,Melamina,1
2024-11,Archivador de Chapas Individuales,Rojo,Metal,1
2024-11,Vitrina doble chapa,Azul,Melamina,1
2024-11,Camilla de examen con espaldar movible,Blanco,Metal,1
2024-11,Estante para farmacia,Blanco,Melamina,1
2024-11,Negtoscopio,Rojo,Metal,1
2024-11,Silla mesedora,Blanco,Metal,1
2024-11,Mostrador para librería,Gris,Melamina,3
2024-11,Broastera simple,Negro,Metal,2
2024-11,Estante para archivos con bandejas,Gris,Melamina,3
2024-11,Casillero de 20 puertas,Negro,Metal,1
2024-11,Vitrina doble chapa,Gris,Melamina,1
2024-11,Estante para farmacia,Rojo,Metal,2
2024-11,Estanteria tipo vitrin,Blanco,Melamina,1
2024-11,Camilla con Barillas,Negro,Metal,1
2024-11,Mostrador para librería,Blanco,Melamina,1
2024-11,Pedestal porta sueros,Rojo,Metal,1
2024-11,Credenza,Blanco,Melamina,1
2024-11,Casillero de 6 puertas,Gris,Melamina,1
2024-11,Camilla con Barillas,Gris,Metal,1
2024-11,Camillas para masajes,Negro,Melamina,1
2024-11,Escritorio ejecutivo de siete cajas,Gris,Metal,1
2024-11,Cajero para supermercado,Blanco,Melamina,1
2024-11,Horno semi-industrial,Azul,Metal,1
2024-11,Casillero de 9 puertas,Gris,Melamina,1
2024-11,Casillero de 15 puertas,Rojo,Metal,1
2024-11,Estante de puertas corredizas,Gris,Melamina,1
2024-11,Estante para farmacia de dos cuerpos,Blanco,Metal,1
2024-11,Gabetero de 3 cajas,Azul,Melamina,1
2024-11,Vitrina para farmacia,Rojo,Metal,1
2024-11,Horno domestico,Azul,Melamina,1
2024-11,Mesa de instrumentación,Rojo,Metal,1
2024-11,Casillero de 1 cuerpo y 1 puerta,Blanco,Melamina,2
2024-11,Archivador de Chapas Individuales,Azul,Metal,1
2024-11,Casillero de 1 cuerpo y 4 puertas,Blanco,Melamina,2
2024-11,Horno domestico,Azul,Metal,1
2024-11,Silla mesedora,Negro,Melamina,1
2024-11,Credenza,Blanco,Metal,3
2024-11,Horno domestico,Azul,Melamina,1
2024-11,Casillero de 20 puertas,Negro,Melamina,1
2024-11,Broastera simple,Rojo,Melamina,1
2024-11,Camilla de examen,Azul,Metal,1
2024-11,Gabinete de dos cuerpos,Gris,Melamina,1
2024-11,Camilla de ginecología,Azul,Metal,2
2024-11,Lámpara de cuello ganzo,Rojo,Melamina,1
2024-11,Cocina industrial de dos quemadores,Blanco,Metal,1
2024-11,Broastera simple,Azul,Melamina,1
2024-11,Casillero de 2 puertas,Rojo,Metal,1
2024-11,Archivero,Negro,Melamina,1
2024-11,Gabinete de dos cuerpos,Gris,Metal,1
2024-11,Lámpara de cuello ganzo,Negro,Melamina,1
2024-11,Estante para farmacia,Gris,Metal,1
2024-11,Negtoscopio,Negro,Melamina,1
2024-11,Biombo,Azul,Metal,1
2024-11,Camilla con Barillas,Blanco,Metal,1
2024-11,Casillero de 6 puertas,Rojo,Melamina,1
2024-11,Horno semi-industrial,Negro,Metal,1
2024-11,Catre de internación,Gris,Melamina,1
2024-11,Camilla de ginecología,Blanco,Metal,1
2024-11,Casillero de 2 puertas,Negro,Melamina,1
2024-11,Gabetero de 2 cajas con chapa adicional,Blanco,Metal,1
2024-11,Góndolas para supermercados,Negro,Melamina,1
2024-11,Camilla tipo escritorio,Rojo,Metal,1
2024-11,Góndolas para supermercados,Azul,Melamina,1
2024-11,Estante mostrador,Gris,Metal,1
2024-11,Camilla de examen con espaldar movible,Negro,Melamina,1
2024-11,Escritorio ejecutivo de siete cajas,Gris,Metal,1
2024-11,Camilla de examen con espaldar movible,Rojo,Melamina,1
2024-11,Gabetero de 2 cajas con chapa adicional,Blanco,Melamina,1
2024-11,Camilla de examen,Negro,Metal,2
2024-11,Casillero de dos puertas,Rojo,Melamina,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Gris,Metal,1
2024-11,Cajero para supermercado,Blanco,Melamina,1
2024-11,Gabetero de 2 cajas con chapa adicional,Rojo,Metal,1
2024-11,Gabinete de dos cuerpos,Blanco,Metal,1
2024-11,Lámpara de cuello ganzo,Negro,Melamina,2
2024-11,Mesa de curación,Rojo,Metal,1
2024-11,Gabetero de 4 cajas,Blanco,Melamina,1
2024-11,Mostrador para librería,Negro,Metal,1
2024-11,Estante para farmacia,Azul,Melamina,1
2024-11,Estante para archivos con bandejas,Negro,Metal,1
2024-11,Archivero,Azul,Melamina,1
2024-11,Casillero de 12 puertas,Blanco,Metal,1
2024-11,Estante de puertas corredizas,Rojo,Melamina,1
2024-11,Gabetero de 2 cajas sin chapa,Gris,Metal,1
2024-11,Armario de dos cuerpos,Negro,Melamina,1
