Fecha,Tipo,Color,Material,Cantidad
2024-11,Estante para farmacia,Negro,Metal,2
2024-11,Gabetero con chapa independiente,Blanco,Melamina,1
2024-11,Casillero de cuatro puertas,Azul,Metal,1
2024-11,Vitrina para farmacia,Rojo,Melamina,2
2024-11,Silla estática con brazo,Negro,Metal,1
2024-11,Broastera simple,Gris,Melamina,1
2024-11,Mesa de trabajo,Blanco,Metal,1
2024-11,Silla giratoria,Negro,Melamina,1
2024-11,Gabetero de 2 cajas sin chapa,Gris,Metal,1
2024-11,Casillero de 1 cuerpo y tres puertas,Blanco,Melamina,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Gris,Melamina,1
2024-11,Silla estática con brazo,Azul,Metal,1
2024-11,Casillero de 1 cuerpo y 1 puerta,Blanco,Melamina,1
2024-11,Estanteria tipo vitrin,Gris,Metal,1
2024-11,Casillero de dos puertas,Azul,Melamina,1
2024-11,Cajero para supermercado,Blanco,Metal,2
2024-11,Casillero de 1 cuerpo y tres puertas,Gris,Melamina,1
2024-11,Silla de peluquería,Negro,Metal,1
2024-11,Mesa de instrumentación,Azul,Melamina,1
2024-11,Pedestal porta sueros,Blanco,Metal,1
2024-11,Gabetero de 4 cajas,Negro,Melamina,1
2024-11,Camilla de examen con espaldar movible,Blanco,Metal,2
2024-11,Casillero de 6 puertas,Gris,Melamina,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Negro,Metal,1
2024-11,Casillero de 1 cuerpo y tres puertas,Azul,Melamina,1
2024-11,Escritorio ejecutivo de siete cajas,Blanco,Metal,1
2024-11,Góndolas para supermercados,Rojo,Melamina,3
2024-11,Casillero de 1 cuerpo y 4 puertas,Gris,Metal,3
2024-11,Estanteria tipo vitrin,Azul,Metal,1
2024-11,Pedestal porta sueros,Gris,Melamina,1
2024-11,Negtoscopio,Blanco,Metal,1
2024-11,Silla estática con brazo,Blanco,Melamina,1
2024-11,Credenza,Negro,Metal,1
2024-11,Camilla de ginecología,Rojo,Melamina,1
2024-11,Camillas para masajes,Azul,Metal,1
2024-11,Gabetero de 2 cajas sin chapa,Blanco,Melamina,1
2024-11,Pedestal porta sueros,Gris,Metal,1
2024-11,Casillero de 6 puertas,Azul,Melamina,1
2024-11,Estante mostrador,Gris,Metal,1
2024-11,Gabetero de 4 cajas,Azul,Melamina,1
2024-11,Gabetero de 5 cajas,Blanco,Melamina,1
2024-11,Camilla de examen,Negro,Metal,1
2024-11,Velador clínico,Gris,Melamina,2
2024-11,Camilla de examen,Gris,Metal,1
2024-11,Estante mostrador,Rojo,Melamina,1
2024-11,Estante para farmacia de dos cuerpos,Gris,Metal,1
2024-11,Estante mostrador,Azul,Melamina,1
2024-11,Camilla de examen,Blanco,Metal,1
2024-11,Lámpara de cuello ganzo,Rojo,Melamina,3
2024-11,Vitrina de puertas corredizas,Negro,Metal,1
2024-11,Escritorio ejecutivo de siete cajas,Rojo,Melamina,1
2024-11,Alacena con pedestal,Negro,Metal,1
2024-11,Silla estática,Azul,Melamina,1
2024-11,Camilla tipo escritorio,Negro,Metal,1
2024-11,Silla de espera,Rojo,Melamina,1
2024-11,Camilla con Barillas,Azul,Metal,1
2024-11,Vitrina de puertas corredizas,Blanco,Melamina,1
2024-11,Pedestal porta sueros,Gris,Metal,2
2024-11,Casillero de 15 puertas,Rojo,Melamina,1
2024-11,Camilla de examen,Gris,Metal,1
2024-11,Camillas para masajes,Negro,Melamina,1
2024-11,Camilla de ginecología,Azul,Metal,1
2024-11,Horno semi-industrial,Negro,Melamina,1
2024-11,Vitrina para farmacia,Rojo,Metal,1
2024-11,Silla de peluquería,Negro,Melamina,1
2024-11,Vitrina de puertas corredizas,Azul,Metal,1
