ID,Tipo,Color,Material,Agregado,Cantidad,Precio Unitario,Precio Total,Fecha,PrecioU,PrecioT
24,Archivador de Chapas Individuales,Rojo,Melamina,Sin agregado,2,1400.0,2800.0,2021-07-06,,
24,Archivador de Chapas Individuales,Negro,Metal,Sin agregado,3,1400.0,4200.0,2021-07-06,,
24,Silla de peluquería,Gris,Metal,Sin brazos,1,210.0,210.0,2021-07-06,,
27,Armario de dos cuerpos,Negro,Metal,Con espejo,1,1850.0,1850.0,2021-01-03,,
27,Gabetero de 2 cajas sin chapa,Rojo,Melamina,De hogar,3,830.0,2490.0,2021-01-03,,
27,Estante mostrador,Blanco,Melamina,Sin puertas,2,520.0,1040.0,2021-01-03,,
27,Alacena con pedestal,Azul,Melamina,Sin agregado,2,1600.0,3200.0,2021-01-03,,
27,Estanteria tipo vitrin,Azul,Melamina,Con puertas,3,650.0,1950.0,2021-01-03,,
27,Casillero de 9 puertas,Negro,Metal,Con espejo,1,1850.0,1850.0,2021-01-03,,
27,Silla de peluquería,Gris,Melamina,Sin brazos,1,210.0,210.0,2021-01-03,,
34,Casillero de 1 cuerpo y tres puertas,Azul,Metal,Con espejo,3,950.0,2850.0,2020-07-24,,
34,Silla estática,Gris,Metal,Sin brazos,1,140.0,140.0,2020-07-24,,
36,Gabetero de 4 cajas,Blanco,Metal,De oficina,3,1380.0,4140.0,2022-02-28,,
36,Gabetero con chapa independiente,Rojo,Metal,Sin cerradura,3,1750.0,5250.0,2022-02-28,,
36,Casillero de cuatro puertas,Blanco,Melamina,Sin chapa,1,1550.0,1550.0,2022-02-28,,
39,Gabetero de 2 cajas sin chapa,Negro,Melamina,Sin cerradura,3,830.0,2490.0,2020-12-16,,
39,Casillero de cuatro puertas,Rojo,Metal,Sin chapa,1,1550.0,1550.0,2020-12-16,,
41,Silla estática,Blanco,Melamina,Sin brazos,3,140.0,420.0,2022-05-01,,
41,Estante para farmacia de dos cuerpos,Gris,Metal,De pared,3,3550.0,10650.0,2022-05-01,,
41,Silla de peluquería,Blanco,Melamina,Con brazos,2,210.0,420.0,2022-05-01,,
41,Horno semi-industrial,Rojo,Metal,Con ventilador,2,2550.0,5100.0,2022-05-01,,
41,Casillero de cuatro puertas,Blanco,Melamina,Sin chapa,1,1550.0,1550.0,2022-05-01,,
41,Gabetero de 4 cajas,Gris,Melamina,De hogar,2,1380.0,2760.0,2022-05-01,,
41,Estante mostrador,Rojo,Metal,Con puertas,1,520.0,520.0,2022-05-01,,
41,Vitrina para farmacia,Blanco,Metal,Con iluminación,1,1100.0,1100.0,2022-05-01,,
41,Silla estática con brazo,Blanco,Metal,No acolchonada,3,320.0,960.0,2022-05-01,,
50,Casillero de 15 puertas,Gris,Melamina,Con espejo,2,2290.0,4580.0,2023-08-15,,
50,Biombo,Negro,Melamina,Sin agregado,2,450.0,900.0,2023-08-15,,
50,Broastera simple,Rojo,Melamina,Sin agregado,1,1100.0,1100.0,2023-08-15,,
50,Gabetero de 3 cajas,Blanco,Melamina,De hogar,1,1250.0,1250.0,2023-08-15,,
50,Vitrina para farmacia,Azul,Melamina,De madera,2,1100.0,2200.0,2023-08-15,,
55,Gabetero de 5 cajas,Azul,Metal,De oficina,1,1600.0,1600.0,2023-11-14,,
55,Vitrina para farmacia,Azul,Metal,De vidrio,1,1100.0,1100.0,2023-11-14,,
55,Casillero de 9 puertas,Gris,Metal,Con chapa,3,1850.0,5550.0,2023-11-14,,
55,Casillero de 1 cuerpo y 4 puertas,Rojo,Metal,Con espejo,1,980.0,980.0,2023-11-14,,
59,Casillero de 12 puertas,Negro,Melamina,Con espejo,1,2200.0,2200.0,2022-08-17,,
59,Mesa de instrumentación,Azul,Metal,Cuadrada,3,650.0,1950.0,2022-08-17,,
59,Estanteria tipo vitrin,Negro,Metal,De pared,1,650.0,650.0,2022-08-17,,
62,Vitrina para farmacia,Azul,Melamina,De vidrio,2,1100.0,2200.0,2023-09-11,,
62,Casillero de 9 puertas,Gris,Melamina,Con espejo,1,1850.0,1850.0,2023-09-11,,
62,Casillero de 1 cuerpo y 4 puertas,Negro,Metal,Con chapa,1,980.0,980.0,2023-09-11,,
62,Gabetero de 5 cajas,Blanco,Melamina,De hogar,2,1600.0,3200.0,2023-09-11,,
66,Casillero de 6 puertas,Azul,Melamina,Con espejo,1,1750.0,1750.0,2022-10-11,,
66,Silla de espera,Negro,Metal,Sin brazos,2,950.0,1900.0,2022-10-11,,
66,Gabetero de 4 cajas,Rojo,Melamina,Sin cerradura,3,1380.0,4140.0,2022-10-11,,
69,Silla giratoria,Blanco,Metal,Sin brazos,3,990.0,2970.0,2021-07-14,,
69,Silla de espera,Gris,Melamina,No acolchonada,3,950.0,2850.0,2021-07-14,,
69,Gabetero de 2 cajas con chapa adicional,Rojo,Metal,De oficina,1,980.0,980.0,2021-07-14,,
72,Estante mostrador,Negro,Melamina,Sin puertas,2,520.0,1040.0,2021-12-29,,
72,Gabetero de 4 cajas,Rojo,Melamina,Con cerradura,1,1380.0,1380.0,2021-12-29,,
72,Estanteria tipo vitrin,Negro,Metal,Con puertas,1,650.0,650.0,2021-12-29,,
75,Estante Archivador,Azul,Melamina,De pared,2,1250.0,2500.0,2023-09-15,,
75,Estante para farmacia,Gris,Melamina,De pared,3,3500.0,10500.0,2023-09-15,,
75,Estante para farmacia,Gris,Melamina,Sin puertas,1,3500.0,3500.0,2023-09-15,,
78,Estante Archivador,Rojo,Metal,De pared,3,1250.0,3750.0,2020-11-07,,
79,Estante mostrador,Gris,Melamina,Sin puertas,2,520.0,1040.0,2021-05-25,,
79,Gabetero de 5 cajas,Negro,Melamina,Sin cerradura,1,1600.0,1600.0,2021-05-25,,
81,Gabetero de 2 cajas con chapa adicional,Blanco,Metal,Sin cerradura,3,980.0,2940.0,2021-12-26,,
81,Archivador de Chapas Individuales,Azul,Metal,Sin agregado,2,1400.0,2800.0,2021-12-26,,
81,Casillero de cuatro puertas,Rojo,Metal,Sin espejo,3,1550.0,4650.0,2021-12-26,,
81,Camilla de ginecología,Blanco,Metal,Fija,1,1850.0,1850.0,2021-12-26,,
81,Casillero de 1 cuerpo y tres puertas,Azul,Melamina,Con chapa,2,950.0,1900.0,2021-12-26,,
81,Silla estática,Rojo,Melamina,Sin brazos,2,140.0,280.0,2021-12-26,,
81,Archivador de Chapas Individuales,Azul,Melamina,Sin agregado,3,1400.0,4200.0,2021-12-26,,
88,Estanteria tipo vitrin,Azul,Metal,De pared,1,650.0,650.0,2020-08-07,,
88,Gabinete de dos cuerpos,Blanco,Metal,Sin agregado,1,1850.0,1850.0,2020-08-07,,
88,Estante para farmacia,Gris,Melamina,Sin puertas,3,3500.0,10500.0,2020-08-07,,
88,Gabetero de 3 cajas,Blanco,Melamina,De oficina,1,1250.0,1250.0,2020-08-07,,
92,Casillero de 9 puertas,Rojo,Metal,Con espejo,2,1850.0,3700.0,2022-08-15,,
92,Gabetero de 5 cajas,Rojo,Metal,Con cerradura,2,1600.0,3200.0,2022-08-15,,
92,Casillero de 9 puertas,Gris,Metal,Con espejo,1,1850.0,1850.0,2022-08-15,,
95,Casillero de 12 puertas,Rojo,Metal,Con espejo,3,2200.0,6600.0,2021-12-23,,
95,Gabetero de 3 cajas,Gris,Metal,Con cerradura,3,1250.0,3750.0,2021-12-23,,
95,Horno domestico,Rojo,Metal,A gas,2,1350.0,2700.0,2021-12-23,,
95,Estante para farmacia,Gris,Melamina,Sin puertas,2,3500.0,7000.0,2021-12-23,,
95,Estante de puertas corredizas,Blanco,Melamina,Con puertas,2,1750.0,3500.0,2021-12-23,,
100,Casillero de 20 puertas,Gris,Metal,Con chapa,2,2800.0,5600.0,2023-02-23,,
100,Vitrina para farmacia,Blanco,Melamina,De vidrio,1,1100.0,1100.0,2023-02-23,,
100,Silla mesedora,Rojo,Metal,Sin brazos,1,500.0,500.0,2023-02-23,,
100,Gabetero con chapa independiente,Negro,Metal,De hogar,3,1750.0,5250.0,2023-02-23,,
100,Gabetero de 4 cajas,Blanco,Metal,Sin cerradura,3,1380.0,4140.0,2023-02-23,,
100,Estante Archivador,Azul,Metal,De pared,1,1250.0,1250.0,2023-02-23,,
100,Casillero de 9 puertas,Azul,Metal,Sin espejo,1,1850.0,1850.0,2023-02-23,,
107,Casillero de 1 cuerpo y 4 puertas,Gris,Metal,Sin chapa,3,980.0,2940.0,2021-07-19,,
107,Silla estática,Azul,Metal,Acolchonada,3,140.0,420.0,2021-07-19,,
107,Estante para farmacia de dos cuerpos,Rojo,Melamina,Con puertas,2,3550.0,7100.0,2021-07-19,,
110,Casillero de 2 puertas,Blanco,Melamina,Sin espejo,2,980.0,1960.0,2022-09-04,,
110,Horno hogareño,Gris,Melamina,Eléctrico,2,1250.0,2500.0,2022-09-04,,
110,Gabetero de 4 cajas,Gris,Melamina,Sin cerradura,2,1380.0,2760.0,2022-09-04,,
110,Silla de espera,Azul,Melamina,No acolchonada,3,950.0,2850.0,2022-09-04,,
110,Casillero de 2 puertas,Azul,Metal,Con chapa,1,980.0,980.0,2022-09-04,,
110,Casillero de 15 puertas,Rojo,Melamina,Sin espejo,1,2290.0,2290.0,2022-09-04,,
116,Casillero de 1 cuerpo y 4 puertas,Blanco,Melamina,Sin espejo,1,980.0,980.0,2020-04-24,,
116,Casillero de 9 puertas,Rojo,Metal,Sin espejo,1,1850.0,1850.0,2020-04-24,,
116,Estante de puertas corredizas,Azul,Melamina,De pie,1,1750.0,1750.0,2020-04-24,,
116,Casillero de 15 puertas,Negro,Metal,Sin chapa,1,2290.0,2290.0,2020-04-24,,
116,Gabetero de 2 cajas sin chapa,Blanco,Metal,Sin cerradura,1,830.0,830.0,2020-04-24,,
116,Silla de espera,Blanco,Melamina,Con brazos,2,950.0,1900.0,2020-04-24,,
116,Mesa de instrumentación,Blanco,Metal,Con cajones,1,650.0,650.0,2020-04-24,,
123,Casillero de cuatro puertas,Gris,Metal,Con chapa,2,1550.0,3100.0,2020-05-07,,
123,Estante Archivador,Blanco,Melamina,Con puertas,3,1250.0,3750.0,2020-05-07,,
123,Estante para archivos con bandejas,Rojo,Metal,De pared,2,2350.0,4700.0,2020-05-07,,
123,Gabetero con chapa independiente,Blanco,Melamina,De hogar,3,1750.0,5250.0,2020-05-07,,
123,Casillero de 12 puertas,Negro,Metal,Con chapa,3,2200.0,6600.0,2020-05-07,,
123,Camillas para masajes,Azul,Metal,Con espaldar movible,1,1250.0,1250.0,2020-05-07,,
123,Casillero de 20 puertas,Negro,Melamina,Sin espejo,2,2800.0,5600.0,2020-05-07,,
123,Mesa de curación,Blanco,Metal,Cuadrada,1,850.0,850.0,2020-05-07,,
123,Estanteria tipo vitrin,Negro,Metal,Sin puertas,1,650.0,650.0,2020-05-07,,
123,Casillero de 15 puertas,Rojo,Metal,Con chapa,2,2290.0,4580.0,2020-05-07,,
133,Estanteria tipo vitrin,Gris,Melamina,De pared,1,650.0,650.0,2020-12-03,,
133,Casillero de 12 puertas,Rojo,Metal,Con espejo,1,2200.0,2200.0,2020-12-03,,
133,Gabetero de 5 cajas,Gris,Metal,Sin cerradura,2,1600.0,3200.0,2020-12-03,,
133,Gabetero de 2 cajas con chapa adicional,Gris,Melamina,De hogar,2,980.0,1960.0,2020-12-03,,
133,Casillero de cuatro puertas,Negro,Melamina,Con espejo,2,1550.0,3100.0,2020-12-03,,
133,Silla giratoria,Negro,Melamina,Acolchonada,1,990.0,990.0,2020-12-03,,
139,Gabetero de 3 cajas,Rojo,Metal,Con cerradura,2,1250.0,2500.0,2020-08-04,,
139,Casillero de 2 puertas,Azul,Melamina,Con espejo,3,980.0,2940.0,2020-08-04,,
139,Casillero de 15 puertas,Gris,Metal,Con chapa,2,2290.0,4580.0,2020-08-04,,
142,Silla giratoria,Blanco,Melamina,No acolchonada,2,990.0,1980.0,2023-05-04,,
142,Silla de peluquería,Azul,Metal,Sin brazos,2,210.0,420.0,2023-05-04,,
142,Archivador de Chapas Individuales,Azul,Metal,Sin agregado,2,1400.0,2800.0,2023-05-04,,
142,Casillero de 2 puertas,Negro,Melamina,Sin espejo,1,980.0,980.0,2023-05-04,,
142,Lámpara de cuello ganzo,Gris,Metal,Sin agregado,1,550.0,550.0,2023-05-04,,
142,Catre de internación,Negro,Melamina,Sin agregado,3,2650.0,7950.0,2023-05-04,,
142,Camillas para masajes,Rojo,Melamina,Con espaldar movible,1,1250.0,1250.0,2023-05-04,,
142,Casillero de 1 cuerpo y 4 puertas,Gris,Metal,Sin espejo,2,980.0,1960.0,2023-05-04,,
150,Casillero de 2 puertas,Negro,Metal,Sin espejo,2,980.0,1960.0,2023-10-08,,
150,Gabetero de 2 cajas con chapa adicional,Blanco,Melamina,Sin cerradura,1,980.0,980.0,2023-10-08,,
150,Gabetero de 3 cajas,Blanco,Melamina,De hogar,1,1250.0,1250.0,2023-10-08,,
150,Archivador de Chapas Individuales,Blanco,Metal,Sin agregado,1,1400.0,1400.0,2023-10-08,,
150,Estante para farmacia de dos cuerpos,Gris,Metal,De pared,3,3550.0,10650.0,2023-10-08,,
150,Gabetero de 3 cajas,Rojo,Metal,Sin cerradura,2,1250.0,2500.0,2023-10-08,,
150,Silla giratoria,Blanco,Melamina,Acolchonada,1,990.0,990.0,2023-10-08,,
150,Archivador de Chapas Individuales,Azul,Melamina,Sin agregado,2,1400.0,2800.0,2023-10-08,,
150,Casillero de 6 puertas,Blanco,Metal,Con chapa,1,1750.0,1750.0,2023-10-08,,
150,Gabetero con chapa independiente,Rojo,Metal,De hogar,2,1750.0,3500.0,2023-10-08,,
150,Silla mesedora,Blanco,Melamina,Con brazos,2,500.0,1000.0,2023-10-08,,
150,Casillero de 15 puertas,Gris,Melamina,Sin espejo,2,2290.0,4580.0,2023-10-08,,
162,Camilla tipo escritorio,Blanco,Metal,Fija,3,2750.0,8250.0,2022-07-25,,
162,Casillero de 12 puertas,Azul,Metal,Con espejo,3,2200.0,6600.0,2022-07-25,,
162,Casillero de 6 puertas,Negro,Melamina,Con chapa,1,1750.0,1750.0,2022-07-25,,
162,Casillero de 6 puertas,Blanco,Metal,Sin chapa,1,1750.0,1750.0,2022-07-25,,
166,Gabetero de 2 cajas con chapa adicional,Azul,Metal,De hogar,2,980.0,1960.0,2023-06-17,,
166,Estante para farmacia de dos cuerpos,Azul,Metal,Sin puertas,3,3550.0,10650.0,2023-06-17,,
166,Gabetero de 5 cajas,Azul,Metal,Sin cerradura,2,1600.0,3200.0,2023-06-17,,
169,Silla mesedora,Negro,Metal,Sin brazos,2,500.0,1000.0,2021-04-05,,
169,Estante para archivos con bandejas,Blanco,Melamina,Sin puertas,2,2350.0,4700.0,2021-04-05,,
171,Vitrina para farmacia,Negro,Melamina,De madera,3,1100.0,3300.0,2022-07-08,,
171,Silla de peluquería,Rojo,Melamina,Con brazos,1,210.0,210.0,2022-07-08,,
171,Gabetero de 2 cajas sin chapa,Negro,Melamina,De hogar,2,830.0,1660.0,2022-07-08,,
174,Casillero de 6 puertas,Blanco,Metal,Sin espejo,2,1750.0,3500.0,2021-04-16,,
174,Casillero de 9 puertas,Rojo,Melamina,Sin chapa,1,1850.0,1850.0,2021-04-16,,
176,Casillero de cuatro puertas,Negro,Melamina,Con espejo,3,1550.0,4650.0,2020-12-03,,
176,Casillero de 1 cuerpo y tres puertas,Blanco,Metal,Con espejo,2,950.0,1900.0,2020-12-03,,
176,Archivador de Chapas Individuales,Rojo,Melamina,Sin agregado,2,1400.0,2800.0,2020-12-03,,
176,Casillero de 1 cuerpo y 1 puerta,Negro,Metal,Sin chapa,3,900.0,2700.0,2020-12-03,,
176,Gabetero de 2 cajas sin chapa,Gris,Melamina,Sin cerradura,2,830.0,1660.0,2020-12-03,,
176,Silla de espera,Gris,Melamina,Con brazos,1,950.0,950.0,2020-12-03,,
176,Catre de internación,Azul,Metal,Sin agregado,2,2650.0,5300.0,2020-12-03,,
176,Estante para farmacia de dos cuerpos,Rojo,Metal,De pie,3,3550.0,10650.0,2020-12-03,,
184,Gabetero de 3 cajas,Gris,Melamina,Con cerradura,2,1250.0,2500.0,2021-04-07,,
184,Gabetero con chapa independiente,Gris,Metal,De oficina,1,1750.0,1750.0,2021-04-07,,
186,Estanteria tipo vitrin,Gris,Metal,De pared,3,650.0,1950.0,2022-09-21,,
186,Estante de puertas corredizas,Negro,Melamina,Con puertas,1,1750.0,1750.0,2022-09-21,,
188,Estante para farmacia,Negro,Melamina,Sin puertas,2,3500.0,7000.0,2022-12-20,,
188,Silla estática,Azul,Melamina,Sin brazos,1,140.0,140.0,2022-12-20,,
188,Silla de espera,Azul,Melamina,Con brazos,1,950.0,950.0,2022-12-20,,
191,Gabetero de 2 cajas sin chapa,Blanco,Melamina,Sin cerradura,2,830.0,1660.0,2020-03-21,,
191,Camilla de examen,Negro,Metal,Con espaldar movible,1,1250.0,1250.0,2020-03-21,,
191,Casillero de dos puertas,Negro,Metal,Sin chapa,2,1850.0,3700.0,2020-03-21,,
191,Archivador de Chapas Individuales,Rojo,Metal,Sin agregado,2,1400.0,2800.0,2020-03-21,,
191,Casillero de 15 puertas,Azul,Melamina,Sin espejo,1,2290.0,2290.0,2020-03-21,,
196,Silla estática con brazo,Blanco,Metal,Con brazos,2,320.0,640.0,2022-11-18,,
196,Estante para farmacia,Azul,Melamina,Con puertas,3,3500.0,10500.0,2022-11-18,,
196,Silla mesedora,Gris,Melamina,Acolchonada,1,500.0,500.0,2022-11-18,,
199,Estante para farmacia,Rojo,Metal,De pared,3,3500.0,10500.0,2021-04-27,,
200,Estante para farmacia,Blanco,Metal,Con puertas,1,3500.0,3500.0,2023-12-12,,
200,Casillero de 20 puertas,Negro,Metal,Con chapa,1,2800.0,2800.0,2023-12-12,,
200,Gabetero con chapa independiente,Azul,Metal,Sin cerradura,1,1750.0,1750.0,2023-12-12,,
200,Silla de peluquería,Blanco,Metal,Sin brazos,3,210.0,630.0,2023-12-12,,
200,Gabetero de 5 cajas,Blanco,Melamina,Con cerradura,1,1600.0,1600.0,2023-12-12,,
205,Camilla con Barillas,Azul,Metal,Con espaldar movible,1,1850.0,1850.0,2022-01-16,,
205,Casillero de 9 puertas,Gris,Melamina,Sin espejo,1,1850.0,1850.0,2022-01-16,,
205,Gabetero de 3 cajas,Gris,Melamina,Sin cerradura,2,1250.0,2500.0,2022-01-16,,
205,Gabetero de 4 cajas,Gris,Melamina,De oficina,3,1380.0,4140.0,2022-01-16,,
205,Escritorio ejecutivo de siete cajas,Gris,Metal,Con ruedas,3,1500.0,4500.0,2022-01-16,,
210,Casillero de 9 puertas,Blanco,Metal,Sin chapa,2,1850.0,3700.0,2022-02-05,,
210,Silla estática,Blanco,Metal,No acolchonada,2,140.0,280.0,2022-02-05,,
210,Casillero de 2 puertas,Negro,Melamina,Sin espejo,2,980.0,1960.0,2022-02-05,,
210,Estante para farmacia de dos cuerpos,Blanco,Metal,Sin puertas,1,3550.0,3550.0,2022-02-05,,
210,Vitrina doble chapa,Azul,Metal,De vidrio,1,1350.0,1350.0,2022-02-05,,
215,Gabetero con chapa independiente,Blanco,Melamina,De oficina,3,1750.0,5250.0,2020-08-01,,
215,Silla estática,Azul,Melamina,Con brazos,2,140.0,280.0,2020-08-01,,
215,Estante Archivador,Negro,Metal,Con puertas,2,1250.0,2500.0,2020-08-01,,
218,Estante para farmacia,Blanco,Metal,Sin puertas,2,3500.0,7000.0,2022-02-19,,
218,Silla estática con brazo,Blanco,Melamina,Con brazos,2,320.0,640.0,2022-02-19,,
218,Estante para farmacia,Azul,Melamina,De pie,2,3500.0,7000.0,2022-02-19,,
221,Estante para farmacia,Negro,Metal,Con puertas,1,3500.0,3500.0,2021-01-20,,
221,Cocina industrial de dos quemadores,Blanco,Metal,Sin agregado,3,1250.0,3750.0,2021-01-20,,
223,Silla estática,Negro,Metal,Con brazos,1,140.0,140.0,2020-04-19,,
223,Silla estática con brazo,Blanco,Metal,No acolchonada,1,320.0,320.0,2020-04-19,,
223,Casillero de 6 puertas,Rojo,Melamina,Con chapa,3,1750.0,5250.0,2020-04-19,,
223,Silla giratoria,Blanco,Melamina,Acolchonada,2,990.0,1980.0,2020-04-19,,
223,Gabetero de 5 cajas,Rojo,Metal,Con cerradura,3,1600.0,4800.0,2020-04-19,,
223,Escritorio secretarial de cuatro cajas con chapa clave,Azul,Metal,Fijo,1,1480.0,1480.0,2020-04-19,,
223,Archivero,Negro,Metal,Sin agregado,2,1800.0,3600.0,2020-04-19,,
223,Estante para farmacia,Gris,Melamina,Con puertas,3,3500.0,10500.0,2020-04-19,,
223,Velador clínico,Gris,Metal,Sin agregado,2,650.0,1300.0,2020-04-19,,
232,Estante de puertas corredizas,Blanco,Metal,Sin puertas,2,1750.0,3500.0,2021-10-19,,
232,Silla giratoria,Negro,Metal,Con brazos,2,990.0,1980.0,2021-10-19,,
232,Archivador de Chapas Individuales,Blanco,Metal,Sin agregado,2,1400.0,2800.0,2021-10-19,,
232,Gabetero con chapa independiente,Gris,Melamina,De hogar,1,1750.0,1750.0,2021-10-19,,
236,Gabetero de 4 cajas,Rojo,Metal,Sin cerradura,3,1380.0,4140.0,2023-03-13,,
237,Vitrina para farmacia,Gris,Metal,De vidrio,1,1100.0,1100.0,2021-05-20,,
237,Silla estática con brazo,Azul,Metal,Con brazos,1,320.0,320.0,2021-05-20,,
237,Estante mostrador,Negro,Melamina,De pared,3,520.0,1560.0,2021-05-20,,
237,Silla estática,Azul,Melamina,Sin brazos,1,140.0,140.0,2021-05-20,,
237,Camilla de ginecología,Blanco,Melamina,Con espaldar movible,3,1850.0,5550.0,2021-05-20,,
237,Gabetero de 5 cajas,Azul,Melamina,De hogar,2,1600.0,3200.0,2021-05-20,,
237,Casillero de 1 cuerpo y 4 puertas,Rojo,Metal,Con espejo,1,980.0,980.0,2021-05-20,,
237,Vitrina para farmacia,Gris,Metal,Con iluminación,1,1100.0,1100.0,2021-05-20,,
245,Escritorio ejecutivo de siete cajas,Azul,Metal,Con ruedas,1,1500.0,1500.0,2022-03-27,,
245,Casillero de cuatro puertas,Rojo,Metal,Con chapa,1,1550.0,1550.0,2022-03-27,,
245,Gabetero con chapa independiente,Negro,Melamina,De hogar,3,1750.0,5250.0,2022-03-27,,
245,Horno domestico,Gris,Melamina,Con ventilador,3,1350.0,4050.0,2022-03-27,,
245,Vitrina de puertas corredizas,Blanco,Metal,De vidrio,1,1900.0,1900.0,2022-03-27,,
250,Casillero de 2 puertas,Blanco,Metal,Con espejo,3,980.0,2940.0,2021-12-07,,
250,Casillero de 1 cuerpo y 4 puertas,Gris,Melamina,Sin espejo,3,980.0,2940.0,2021-12-07,,
250,Casillero de 12 puertas,Negro,Melamina,Sin espejo,1,2200.0,2200.0,2021-12-07,,
253,Camilla con Barillas,Negro,Metal,Sin barillas,3,1850.0,5550.0,2021-08-20,,
253,Estante de puertas corredizas,Gris,Metal,De pared,2,1750.0,3500.0,2021-08-20,,
253,Casillero de 2 puertas,Rojo,Melamina,Sin chapa,1,980.0,980.0,2021-08-20,,
256,Casillero de 12 puertas,Azul,Metal,Sin chapa,2,2200.0,4400.0,2021-11-05,,
256,Silla de peluquería,Rojo,Metal,Acolchonada,1,210.0,210.0,2021-11-05,,
256,Estante mostrador,Rojo,Melamina,De pared,2,520.0,1040.0,2021-11-05,,
259,Casillero de 2 puertas,Negro,Melamina,Sin chapa,1,980.0,980.0,2023-03-09,,
259,Mesa de trabajo,Gris,Metal,Con cajones,3,1500.0,4500.0,2023-03-09,,
259,Estante para farmacia de dos cuerpos,Negro,Melamina,De pared,1,3550.0,3550.0,2023-03-09,,
259,Casillero de cuatro puertas,Azul,Metal,Sin chapa,2,1550.0,3100.0,2023-03-09,,
259,Silla mesedora,Negro,Metal,No acolchonada,1,500.0,500.0,2023-03-09,,
259,Estante para farmacia de dos cuerpos,Azul,Metal,Sin puertas,1,3550.0,3550.0,2023-03-09,,
259,Casillero de 9 puertas,Negro,Melamina,Sin chapa,2,1850.0,3700.0,2023-03-09,,
259,Casillero de dos puertas,Rojo,Metal,Sin chapa,2,1850.0,3700.0,2023-03-09,,
259,Camilla de ginecología,Negro,Melamina,Con espaldar movible,1,1850.0,1850.0,2023-03-09,,
268,Casillero de 20 puertas,Azul,Melamina,Sin espejo,3,2800.0,8400.0,2022-05-23,,
268,Casillero de dos puertas,Blanco,Metal,Con espejo,1,1850.0,1850.0,2022-05-23,,
268,Gabetero de 4 cajas,Gris,Metal,De hogar,2,1380.0,2760.0,2022-05-23,,
271,Alacena con pedestal,Negro,Metal,Sin agregado,1,1600.0,1600.0,2022-12-11,,
271,Casillero de cuatro puertas,Rojo,Metal,Sin chapa,1,1550.0,1550.0,2022-12-11,,
271,Horno semi-industrial,Blanco,Melamina,A gas,1,2550.0,2550.0,2022-12-11,,
271,Mostrador para librería,Gris,Metal,Sin agregado,3,900.0,2700.0,2022-12-11,,
271,Gabetero de 5 cajas,Rojo,Metal,De oficina,3,1600.0,4800.0,2022-12-11,,
271,Archivador de Chapas Individuales,Rojo,Melamina,Sin agregado,2,1400.0,2800.0,2022-12-11,,
277,Gabetero de 2 cajas sin chapa,Gris,Melamina,Con cerradura,1,830.0,830.0,2023-12-23,,
277,Catre de internación,Negro,Metal,Sin agregado,1,2650.0,2650.0,2023-12-23,,
277,Casillero de dos puertas,Azul,Melamina,Con chapa,1,1850.0,1850.0,2023-12-23,,
277,Silla estática,Blanco,Melamina,Sin brazos,2,140.0,280.0,2023-12-23,,
